姓名,性别,是否班委,绩点,出勤概率
马易圣,男,是,2.963
管信凝,女,是,3.746
喻中影,女,是,1.821
宓智慧,女,否,3.369
明仁悌,女,否,3.073
窦仁欧,男,否,1.875
洪智元,男,是,1.913
臧悦,女,是,2.769
俞歌和,女,是,3.039
单谦,男,是,2.928
贾友梦,女,是,2.21
杭丽,女,否,1.801
滕器景,男,是,2.666
贲华,女,否,2.704
闾丘凯炫,男,否,2.198
鲁丽,女,否,2.288
席峰,男,是,2.245
席友池,男,否,3.338
仲红,女,否,2.207
项友永,男,是,2.089
喻扬,男,否,3.428
宣智娟,女,是,2.698
郎礼丽,女,是,2.345
洪礼勋,男,是,3.435
苏友秋,女,是,3.773
施慧,女,否,1.621
万波,女,是,2.382
寇仉凌,女,是,2.569
石义磊,男,是,2.351
杭信韵,男,是,2.854
施岸,男,否,2.602
喻凯静,女,是,3.763
奚神,男,否,3.999
贲凌,女,是,2.513
焦静,女,是,3.003
章慧,女,是,3.729
袁琪,女,是,3.665
龚凯羽,男,是,2.339
任英,女,否,3.823
仰真雅,女,否,2.311
计凯娟,女,否,3.087
羊佳,女,是,2.394
尤器璧,女,是,3.341
龚若,女,否,1.816
水易宝,女,否,3.196
元越,男,否,3.178
高梦,女,是,2.33
喻仁英,女,否,3.981
嵇利,男,是,3.212
方礼和,女,否,2.705
孟凯若,男,是,2.216
崔器煜,男,否,3.199
吉怡,女,否,3.121
郝易卡,男,是,2.306
邬仁丽,女,是,2.598
伏友圣,男,是,3.699
侯真德,男,否,3.163
翁中载,男,否,3.916
焦仁圣,男,是,2.313
童静,女,是,3.08
吕彩,女,是,3.601
芮中轩,男,是,3.039
潘凌,女,是,3.834
高器泰,男,是,3.958
齐颖,女,否,2.911
班器梦,女,是,2.666
刁礼傲,男,是,2.543
杭玲,女,否,3.292
项梦,女,是,2.471
元易余,男,否,3.128
颜易琪,女,是,3.282
樊真扬,男,是,3.142
皮中宏,男,否,2.133
陈美,女,是,2.208
邹礼静,女,否,3.817
袁玲,女,否,2.794
凌仁望,男,否,3.881
巴真玉,女,否,3.209
殷家,女,否,2.143
徐元,男,是,3.616
伍易宇,男,否,3.086
宫波,女,否,3.049
单于淘,男,是,1.727
龚义玥,女,是,3.07
梅真悦,女,是,1.732
明歌美,女,否,3.196
宣智乾,男,否,2.412
殷卉,女,否,2.168
明礼卫,男,否,3.108
章悦,女,否,3.615
